Term,Definition
Allocation,"The planned habitat set aside by a BGS site to meet the offsite BNG requirements of a specific development."
API,"An Application Programming Interface is a set of rules and protocols that allows different software systems to communicate and exchange data with each other in a standardized way, without users needing to know the intricate details of how each system is built."
Baseline habitat,"The pre-existing habitat of a site before that site is developed."
Biodiversity Gain Site (BGS),"An area of land or habitat designated to create or enhance habitats for wildlife, leading to a measurable increase in biodiversity. Only sites listed on the�BGS Register�are eligible for this designation."
Condition,"The ecological health and functional status of a habitat, indicating its resilience and how well it supports its ecosystem. It's assessed using criteria for specific habitat types, often resulting in a rating - good, moderate or poor - which is based on factors like species presence, management and disturbance."
Habitat,"An environment or area that supports living organisms, including plants, animals and fungi."
Habitat Unit (HU),"A quantitative measure of the value of a natural habitat, used in Biodiversity Net Gain calculations. It is calculated based on a habitat's size (area or length), distinctiveness, condition and strategic significance, with higher values indicating better ecological quality and greater biodiversity."
IMD (Index of Multiple Deprivation) Decile/Score,"An official measure used in England to assess relative deprivation in small geographic areas by combining data from seven different domains: Income, Employment, Education, Skills and Training, Health Deprivation and Disability, Crime, Barriers to Housing and Services, and Living Environment. The IMD helps identify areas with high concentrations of different types of deprivation, allowing users to understand and compare levels of disadvantage across the country."
Local Nature Recovery Strategy (LNRS) site,"An England-wide system of spatial strategies required by the Environment Act 2021 that identifies priorities and maps proposals for nature recovery at the local level. These strategies are designed to map existing important habitats, identify areas for new or improved habitats, set out priorities for action, and integrate with the planning system to support wider environmental benefits like biodiversity, flood management, carbon storage, and water quality. See�Local nature recovery strategies policy paper."
Local Planning Authority (LPA),"A local government body, often a council department, responsible for managing land use and development in a specific area. Its functions include deciding on planning applications, preparing and implementing local plans, and enforcing planning policies to ensure that development is sustainable and balances economic, environmental and social considerations."
Lower Layer Super Output Area (LSOA),"The smallest geographic unit used in England and Wales for statistical purposes, typically comprising 1,000 to 3,000 residents and 400 to 1,200 households. See�ONS - Statistical geographies."
National Character Area (NCA),"A distinctive and recognisable unit of England's landscape, defined by a unique sense of place resulting from its specific natural, cultural and economic features. NCAs follow the natural lines of the landscape, rather than administrative boundaries like counties, making them a useful framework for planning and decision making for landscape and environmental projects. There are 159 NCAs in England, and each has a detailed profile outlining its characteristics and how it functions and can be sustained. See�National Character Area Profiles."
Parcel,"A discrete habitat within a larger site containing a single, consistent type of habitat in a particular condition."
Responsible Body,"An organisation designated by Defra to hold and administer conservation covenants for BNG projects, monitoring and enforcing habitat improvement plans to ensure long-term conservation. See�Conservation covenants: criteria for being a responsible body guidance."
Size,"The size of area habitats is measured in hectares (ha). Linear habitats - hedgerows and watercourses - are measured in kilometres (km)."
SRM,"The spatial risk multiplier is a factor used in the statutory BNG metric to reduce the measured ecological value of off-site habitat compensation based on its distance from the development site."
