Habitat Type,Habitat Group,Distinctiveness Category,Distinctiveness Score,Technical Difficulty Creation,Technical Difficulty Creation Multiplier,Technical Difficulty Enhancement,Technical Difficulty Enhancement Multiplier,Good Condition Score,Fairly Good Condition Score,Moderate Condition Score,Fairly Poor Condition Score,Poor Condition Score,Good Time To Target,Fairly Good Time To Target,Moderate Time To Target,Fairly Poor Time To Target,Poor Time To Target,Condition Assessment N/A Time To Target,N/A - Other Time To Target
Arable field margins cultivated annually,Cropland,Medium,4,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Arable field margins game bird mix,Cropland,Medium,4,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Arable field margins pollen and nectar,Cropland,Medium,4,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Arable field margins tussocky,Cropland,Medium,4,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Cereal crops,Cropland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Winter stubble,Cropland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Horticulture,Cropland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Intensive orchards,Cropland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Non-cereal crops,Cropland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Temporary grass and clover leys,Cropland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Traditional orchards,Grassland,High,6,Low,1,Medium,0.67,3,2.5,2,1.5,1,30,25,20,10,5,Not Possible,Not Possible
Bracken,Grassland,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Floodplain wetland mosaic and CFGM,Grassland,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,20,15,10,8,5,Not Possible,Not Possible
Lowland calcareous grassland,Grassland,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,20,15,10,8,5,Not Possible,Not Possible
Lowland dry acid grassland,Grassland,V.High,8,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,25,20,15,10,Not Possible,Not Possible
Lowland meadows,Grassland,V.High,8,High,0.33,Medium,0.67,3,2.5,2,1.5,1,15,12,10,8,5,Not Possible,Not Possible
Modified grassland,Grassland,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,7,5,4,2,1,Not Possible,Not Possible
Other lowland acid grassland,Grassland,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,15,12,10,5,1,Not Possible,Not Possible
Other neutral grassland,Grassland,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,10,7,5,3,2,Not Possible,Not Possible
Tall herb communities (H6430),Grassland,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30,25,20,15,10,Not Possible,Not Possible
Upland acid grassland,Grassland,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,15,12,10,5,1,Not Possible,Not Possible
Upland calcareous grassland,Grassland,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,25,20,15,12,10,Not Possible,Not Possible
Upland hay meadows,Grassland,V.High,8,High,0.33,Medium,0.67,3,2.5,2,1.5,1,20,18,15,12,10,Not Possible,Not Possible
Blackthorn scrub,Heathland and shrub,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,10,7,5,3,1,Not Possible,Not Possible
Bramble scrub,Heathland and shrub,Medium,4,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Gorse scrub,Heathland and shrub,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,10,7,5,3,1,Not Possible,Not Possible
Hawthorn scrub,Heathland and shrub,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,10,7,5,3,1,Not Possible,Not Possible
Hazel scrub,Heathland and shrub,Medium,4,Medium,0.67,Low,1,3,2.5,2,1.5,1,15,12,10,7,5,Not Possible,Not Possible
Willow scrub,Heathland and shrub,Medium,4,Medium,0.67,Low,1,3,2.5,2,1.5,1,15,12,10,7,5,Not Possible,Not Possible
Lowland heathland,Heathland and shrub,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,30+,25,20,15,10,Not Possible,Not Possible
Mixed scrub,Heathland and shrub,Medium,4,Low,1,Low,1,3,2.5,2,1.5,1,10,7,5,3,1,Not Possible,Not Possible
Mountain heaths and willow scrub,Heathland and shrub,V.High,8,High,0.33,High,0.33,3,2.5,2,1.5,1,30+,30+,25,23,15,Not Possible,Not Possible
Rhododendron scrub,Heathland and shrub,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Dunes with sea buckthorn (H2160),Heathland and shrub,High,6,Medium,0.67,Low,1,3,2.5,2,1.5,1,10,7,5,3,1,Not Possible,Not Possible
Other sea buckthorn scrub,Heathland and shrub,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Upland heathland,Heathland and shrub,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,30,25,20,15,10,Not Possible,Not Possible
Aquifer fed naturally fluctuating water bodies,Lakes,V.High,8,Very High,0.1,High,0.33,3,2.5,2,1.5,1,30,20,10,7,5,Not Possible,Not Possible
Ornamental lake or pond,Lakes,Low,2,Low,1,High,0.33,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
High alkalinity lakes,Lakes,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30,20,10,7,5,Not Possible,Not Possible
Low alkalinity lakes,Lakes,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,30,20,10,7,5,Not Possible,Not Possible
Marl lakes,Lakes,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,30,20,10,7,5,Not Possible,Not Possible
Moderate alkalinity lakes,Lakes,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Peat lakes,Lakes,High,6,High,0.33,High,0.33,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Ponds (priority habitat),Lakes,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,10,7,5,3,1,Not Possible,Not Possible
Ponds (non-priority habitat),Lakes,Medium,4,Low,1,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Reservoirs,Lakes,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Temporary lakes ponds and pools (H3170),Lakes,High,6,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,10,7,5,3,2,Not Possible,Not Possible
Calaminarian grasslands,Sparsely vegetated land,V.High,8,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,20,15,10,7,5,Not Possible,Not Possible
Coastal sand dunes,Sparsely vegetated land,High,6,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,20,15,10,7,5,Not Possible,Not Possible
Coastal vegetated shingle,Sparsely vegetated land,High,6,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Ruderal/Ephemeral,Sparsely vegetated land,Low,2,Low,1,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Tall forbs,Sparsely vegetated land,Low,2,Low,1,Medium,0.67,3,2.5,2,1.5,1,30+,25,20,15,10,Not Possible,Not Possible
Inland rock outcrop and scree habitats,Sparsely vegetated land,High,6,High,0.33,Low,1,3,2.5,2,1.5,1,30+,30+,30+,30+,30+,Not Possible,Not Possible
Limestone pavement,Sparsely vegetated land,V.High,8,Very High,0.1,Medium,0.67,3,2.5,2,1.5,1,20,15,10,7,5,Not Possible,Not Possible
Maritime cliff and slopes,Sparsely vegetated land,High,6,High,0.33,Medium,0.67,3,2.5,2,1.5,1,20,15,10,7,5,Not Possible,Not Possible
Other inland rock and scree,Sparsely vegetated land,Medium,4,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,1,1,1,1,1,Not Possible,Not Possible
Allotments,Urban,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
"Artificial unvegetated, unsealed surface",Urban,V.Low,0,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,0
Bioswale,Urban,Low,2,Medium,0.67,Low,1,3,2.5,2,1.5,1,3,2,1,1,1,Not Possible,Not Possible
Intensive green roof,Urban,Low,2,Low,1,Low,1,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
Built linear features,Urban,V.Low,0,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,0
Cemeteries and churchyards,Urban,Medium,4,Medium,0.67,Low,1,3,2.5,2,1.5,1,20,17,15,12,10,Not Possible,Not Possible
Developed land; sealed surface,Urban,V.Low,0,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,0
Other green roof,Urban,Low,2,Low,1,Low,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,Not Possible
Facade-bound green wall,Urban,Low,2,Medium,0.67,Medium,0.67,3,2.5,2,1.5,1,5,4,3,2,1,Not Possible,Not Possible
