BNG Habitat,UKHAB Code,Level 1,Level 2 code,Level 2 Label,Level 3 code,Level 3 Label,Level 4 code,"Level 4 Label
(Priority Habitats in Bold)",Definition Page
Cropland - Arable field margins cultivated annually,c1a7,Terrestrial,c,Cropland,c1,Arable and horticulture,c1a,Arable field margins,157
Cropland - Arable field margins game bird mix,c1a8,Terrestrial,c,Cropland,c1,Arable and horticulture,c1a,Arable field margins,158
Cropland - Arable field margins pollen and nectar,c1a6,Terrestrial,c,Cropland,c1,Arable and horticulture,c1a,Arable field margins,156
Cropland - Arable field margins tussocky,c1a5,Terrestrial,c,Cropland,c1,Arable and horticulture,c1a,Arable field margins,155
Cropland - Cereal crops,c1c,Terrestrial,c,Cropland,c1,Arable and horticulture,c1c,Cereal crops,163
Cropland - Winter stubble,c1c5,Terrestrial,c,Cropland,c1,Arable and horticulture,c1c,Cereal crops,164
Cropland - Horticulture,c1f,Terrestrial,c,Cropland,c1,Arable and horticulture,c1f,Horticulture,175
Cropland - Intensive orchards,c1e,Terrestrial,c,Cropland,c1,Arable and horticulture,c1e,Intensive orchards,174
Cropland - Non-cereal crops,c1d,Terrestrial,c,Cropland,c1,Arable and horticulture,c1d,Non-cereal crops,169
Cropland - Temporary grass and clover leys,c1b,Terrestrial,c,Cropland,c1,Arable and horticulture,c1b,Temporary grass and clover leys,159
Grassland - Traditional orchards,27,Terrestrial,Various,,,,,,298
Grassland - Bracken,g1c,Terrestrial,g,Grassland,g1,Acid grassland,g1c,Bracken,33
Grassland - Floodplain wetland mosaic and CFGM,19,Terrestrial,Various,,,,,,295
Grassland - Lowland calcareous grassland,g2a,Terrestrial,g,Grassland,g2,Calcareous grassland,g2a,Lowland calcareous grassland,36
Grassland - Lowland dry acid grassland,g1a,Terrestrial,g,Grassland,g1,Acid grassland,g1a,Lowland dry acid grassland,26
Grassland - Lowland meadows,g3a,Terrestrial,g,Grassland,g3,Neutral grassland,g3a,Lowland meadows,47
Grassland - Modified grassland,g4,Terrestrial,g,Grassland,g4,Modified grassland,Carried forward,Modified grassland,58
Grassland - Other lowland acid grassland,g1d,Terrestrial,g,Grassland,g1,Acid grassland,g1d,Other lowland acid grassland,34
Grassland - Other neutral grassland,g3c,Terrestrial,g,Grassland,g3,Neutral grassland,g3c,Other neutral grassland,
Grassland - Tall herb communities (H6430),s1a9,Terrestrial,s,Sparsely vegetated land,s1,Inland rock,s1a,Inland rock outcrop and scree habitats,197
Grassland - Upland acid grassland,g1b,Terrestrial,g,Grassland,g1,Acid grassland,g1b,Upland acid grassland,30
Grassland - Upland calcareous grassland,g2b,Terrestrial,g,Grassland,g2,Calcareous grassland,g2b,Upland calcareous grassland,40
Grassland - Upland hay meadows,g3b,Terrestrial,g,Grassland,g3,Neutral grassland,g3b,Upland hay meadows,51
Heathland and shrub - Blackthorn scrub,h3a,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3a,Blackthorn scrub,109
Heathland and shrub - Bramble scrub,h3d,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3d,Bramble scrub,118
Heathland and shrub - Gorse scrub,h3e,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3e,Gorse scrub,119
Heathland and shrub - Hawthorn scrub,h3f,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3f,Hawthorn scrub,120
Heathland and shrub - Hazel scrub,h3b,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3b,Hazel scrub,112
Heathland and shrub - Lowland heathland,h1a,Terrestrial,h,Heathland and shrub,h1,Dwarf shrub heath,h1a,Lowland heathland,92
Heathland and shrub - Mixed scrub,h3h,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3h,Mixed scrub,122
Heathland and shrub - Mountain heaths and willow scrub,h1c,Terrestrial,h,Heathland and shrub,h1,Dwarf shrub heath,h1c,Mountain heaths and willow scrub,100
Heathland and shrub - Rhododendron scrub,h3g,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3g,Rhododendron scrub,121
Heathland and shrub - Dunes with sea buckthorn (H2160),h3c5,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3c,Sea buckthorn scrub,116
Heathland and shrub - Other sea buckthorn scrub,h3c6,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3c,Sea buckthorn scrub,117
Heathland and shrub - Willow scrub,h3j,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3j,Willow scrub,123
Heathland and shrub - Upland heathland,h1b,Terrestrial,h,Heathland and shrub,h1,Dwarf shrub heath,h1b,Upland heathland,97
Lakes - Aquifer fed naturally fluctuating water bodies,r1d,Freshwater,r,Rivers and lakes,r1,Standing open water and canals,r1d,Aquifer fed naturally fluctuating water bodies,231
Lakes - Ornamental lake or pond,46,Freshwater,r,Rivers and lakes,r1,Standing open water and canals,,,312
Lakes - High alkalinity lakes,"Water Framework Directive,Freshwater",Freshwater,,,,,,,https://www.legislation.gov.uk/uksi/2017/407/contents
