LNRS - Drafts and published strategies,URL
Berkshire,https://rbwmtogether.rbwm.gov.uk/berkshire-lnrs-public-consultation-page
Buckinghamshire and Milton Keynes,
Cambridgeshire and Peterborough,https://yourvoice.cambridgeshire.gov.uk/lnrs/consultation/
Cheshire & Warrington,
Cornwall and Isles of Scilly,https://letstalk.cornwall.gov.uk/nature-recovery-plan-overview
Cumbria,
Derbyshire,https://derbyshirenaturerecovery.co.uk/
Devon,https://www.devonlnp.org.uk/our-work/local-nature-recovery-strategy/
Dorset,https://www.dorsetcouncil.gov.uk/dorset-s-local-nature-recovery-strategy
East Sussex,
Gloucestershire,
Greater Essex,https://www.essex.gov.uk/about-council/plans-and-strategies/environment-and-planning/local-nature-recovery-strategy
Greater London,
Greater Manchester,https://www.greatermanchester-ca.gov.uk/what-we-do/environment/natural-environment/our-plan-for-nature-recovery/what-does-our-plan-for-nature-cover/
Hampshire,
Hertfordshire,https://www.hertfordshire.gov.uk/about-the-council/how-the-council-works/partnerships/herts-nature-recovery-partnership/local-nature-recovery-strategy.aspx
Hull and East Yorkshire,https://www.eastriding.gov.uk/environment/sustainable-environment/nature-conservation-and-wildlife/local-nature-recovery-strategy/
Isle of Wight,https://www.islandnature.org/
Kent and Medway,
Lancashire,https://www.lancashire.gov.uk/council/strategies-policies-plans/environmental/local-nature-recovery-strategy/
"Leicestershire, Leicester and Rutland",https://www.leicestershire.gov.uk/environment-and-planning/local-nature-recovery-strategy/leicestershire-leicester-and-rutland-local-nature-recovery-strategy
Liverpool City Region,https://lcrlistens.liverpoolcityregion-ca.gov.uk/local-nature-recovery-strategy/
Norfolk,https://www.norfolk.gov.uk/article/39010/What-a-Local-Nature-Recovery-Strategy-is
North Northamptonshire,https://www.northnorthants.gov.uk/conservation-and-protection/local-nature-recovery-strategy
Nottinghamshire and Nottingham,https://nottsnaturerecovery.co.uk/index.php
Oxfordshire,
Shropshire and Telford & Wrekin,
Somerset,
South of Tyne and Wear,https://www.natureplan.org.uk/home
Suffolk,https://www.suffolk.gov.uk/planning-waste-and-environment/local-nature-recovery-strategy-lnrs
Surrey,
Warwickshire,https://maps.warwickshire.gov.uk/LNRS/
West of England,https://www.westofengland-ca.gov.uk/what-we-do/environment/the-local-nature-recovery-strategy/
West Sussex,
West Yorkshire,
Wiltshire and Swindon,https://www.wiltshire.gov.uk/local-nature-recovery-strategy
Worcestershire,
