Year,Time to target Multiplier
0,1.0000000000
1,0.9650000000
2,0.9312250000
3,0.8986321250
4,0.8671800006
5,0.8368287006
6,0.8075396961
7,0.7792758067
8,0.7520011535
9,0.7256811131
10,0.7002822742
11,0.6757723946
12,0.6521203607
13,0.6292961481
14,0.6072707829
15,0.5860163055
16,0.5655057348
17,0.5457130341
18,0.5266130779
19,0.5081816202
20,0.4903952635
21,0.4732314293
22,0.4566683292
23,0.4406849377
24,0.4252609649
25,0.4103768311
26,0.3960136420
27,0.3821531646
28,0.3687778038
29,0.3558705807
30,0.3434151104
31,0.3313955815
30+,0.3197967361
Not Possible,N/A
